num, ref
49487221, 3833
49487222, 5793
49487223, 46
49487224, 5468
49487225, 5798
49487226, 5424
49487227, 5772
49487228, 5433
49487229, 5795
49487230, 5724
49487232, 5769
49487233, 5782
49487234, 5752
49487235, 5481
49487236, 5483
49487237, 5492
49487238, 5743
49487239, 5472
49487240, 5450
49487242, 23
49487243, 5759
49487245, 4366
49487246, 7177
49487247, 8766
49487248, 7175
49487252, 4545
49487256, 8800
49487257, 9645
49487259, 9825
49487260, 9060
49487262, 9177
49487263, 9372
49487264, 8891
49487265, 9877
49487268, 9736
49487269, 8995
49487270, 5817
49487272, 9346
49487274, 9112
49487275, 8826
49487276, 9773
49487277, 8878
49487279, 8956
49487280, 909
49487282, 5849
49487283, 5801
49487284, 5818
49487286, 6148
49487287, 6168
49487289, 4932
49487290, 6167
49487291, 6002
49487295, 6162
49487297, 4929
49487298, 6158
49487301, 4918
49487305, 4922
49487309, 4927
49487310, 6159
49487313, 4923
49487315, 4935
49487317, 4921
49487319, 6184
49487322, 4937
49487324, 4916
49487325, 6183
49487328, 6173
49487329, 6172
49487330, 6164
49487335, 4924
49487337, 6166
49487339, 6163
49487340, 6165
49487341, 6171
49487343, 4919
49487344, 6182
49487345, 6169
49487346, 4936
49487350, 4926
49487362, 6161
49487364, 4934
49487365, 4925
49487369, 6174
49487443, 4891
49487444, 4754
49487445, 4667
49487446, 4858
49487447, 4666
49487448, 4627
49487449, 4592
49487450, 4676
49487451, 4796
49487452, 4598
49487453, 4636
49487454, 4557
49487455, 4877
49487456, 4539
49487457, 4770
49487458, 4875
49487459, 5191
49487460, 5194
49487461, 5192
49487462, 5193
49487463, 5198
49487465, 5157
49487466, 5175
49487470, 5188
49487471, 5187
49487472, 5189
49487475, 4802
49487476, 4803
49487477, 4808
49487479, 4804
49487483, 4812
49487487, 4898
49487489, 4811
49487493, 4821
49487497, 5119
49487499, 4806
49487500, 4810
49487504, 4829
49487512, 5169
49487513, 4809
49487515, 4814
49487518, 5146
49487521, 4844
49487524, 4899
49487528, 4807
49487529, 4871
49487533, 5197
49487534, 4842
49487585, 5113
49487586, 5115
49487587, 5148
49487588, 5136
49487590, 5149
49487605, 7616
49487606, 7641
49487608, 6269
49487609, 6258
49487610, 7692
49487611, 6408
49487612, 5901
49487613, 5909
49487615, 5979
49487616, 5902
49487617, 7640
49487618, 7643
49487619, 8707
49487620, 8720
49487621, 8734
49487622, 5970
49487623, 5961
49487627, 6678
49487629, 6434
49487630, 7680
49487631, 7699
49487632, 5910
49487633, 6486
49487634, 5977
49487635, 8709
49487636, 5927
49487637, 6259
49487638, 7677
49487639, 7656
49487640, 6289
49487642, 5904
49487646, 6256
49487674, 2610
49487682, 2611
49487687, 2742
49487691, 2637
49487709, 56
49487710, 2612
49487711, 2789
49487713, 2753
49487714, 2650
49487715, 2633
49487717, 2649
49487719, 2613
49487720, 2720
49487721, 7356
49487722, 7382
49487723, 2651
49487724, 2772
49487725, 2638
49487726, 2672
49487727, 2768
49487740, 7304
49487743, 3922
49487744, 4104
49487813, 3974
49487870, 7744
49487930, 5638
49487960, 9928
49487996, 20982
49488033, 4182
49488070, 5994
49488071, 5993
49488072, 5990
49488073, 5989
49488074, 5992
49488076, 5996
49488078, 5981
49488079, 5980
49488080, 5974
49488081, 5982
49488090, 64
49488113, 5043
49488114, 5110
49488143, 5121
49488151, 4911
49488156, 5041
49488168, 4834
49488200, 4989
49488204, 5145
49488208, 4990
49488209, 5120
49488211, 5093
49488214, 4963
49488235, 7902
49488237, 241
49488239, 5342
49488240, 5255
49488242, 8085
49488243, 5238
49488245, 5329
49488247, 8017
49488248, 5066
49488249, 5264
49488250, 466
49488251, 856
49488252, 5056
49488253, 5014
49488255, 5314
49488256, 712
49488257, 5082
49488258, 8215
49488259, 5186
49488260, 8058
49488261, 5229
49488262, 5199
49488264, 5276
49488265, 5030
49488266, 1298
49488267, 676
49488268, 5316
49488269, 7928
49488270, 4964
49488271, 5160
49488272, 5134
49488273, 5692
49488274, 5196
49488275, 292
49488276, 5277
49488277, 5225
49488279, 5289
49488282, 7911
49488285, 199
49488286, 5290
49488303, 8035
49488304, 1214
49488307, 8043
49488343, 1262
49488353, 4617
49488366, 4633
49488368, 1232
49488371, 1269
49488376, 4602
49488379, 1217
49488381, 1252
49488390, 5976
49488423, 1213
49488427, 8075
49488443, 7222
49488445, 885
49488446, 8965
49488447, 9563
49488448, 9121
49488449, 3687
49488451, 9199
49488452, 8783
49488453, 9485
49488460, 1910
49488461, 2196
49488473, 2222
49488479, 2130
49488483, 9571
49488486, 2128
49488489, 2248
49488493, 2118
49488509, 2298
49488525, 5503
49488526, 5515
49488528, 8764
49488529, 8587
49488547, 5508
49488552, 8795
49488554, 5513
49488563, 8588
49488564, 539
49488578, 5506
49488582, 5511
49488583, 5505
49488591, 5514
49488597, 5512
49488600, 7823
49488604, 5509
49488608, 5504
49488609, 5507
49488614, 8796
49488617, 6550
49488618, 6549
49488643, 5164
49488751, 20590
49488896, 7291
49488900, 7218
49488902, 2934
49488904, 6290
49488905, 6211
49488906, 6835
49488907, 7342
49488909, 8057
49488910, 7331
49488914, 8263
49488915, 8261
49488916, 8253
49488917, 8258
49488918, 8268
49488919, 8269
49488920, 8267
49488921, 8254
49488922, 8262
49488923, 8256
49488924, 8260
49488925, 8252
49488926, 8259
49488927, 8250
49488928, 8264
49488929, 8257
49488930, 8255
49488931, 8270
49488932, 8251
49488933, 8266
49488934, 7745
49488935, 7717
49488936, 5710
49488937, 5742
49488938, 8395
49488940, 7766
49488941, 7718
49488942, 6042
49488943, 5779
49488944, 5822
49488946, 7737
49488947, 6005
49488948, 7768
49488949, 5892
49488951, 7714
49488952, 7716
49488953, 5797
49488954, 7715
49488955, 7713
49488956, 7731
49488957, 5875
49488958, 5756
49488959, 7720
49488960, 8398
49488961, 7732
49488962, 5925
49488963, 8397
49488964, 8399
49488966, 5874
49488967, 7712
49488968, 8396
49488969, 8394
49488970, 7736
49488971, 5736
49488972, 5848
49488973, 7759
49488976, 6770
49488977, 6556
49488978, 6666
49488979, 6796
49488980, 6468
49488981, 6775
49488982, 6601
49488983, 6653
49488984, 6055
49488985, 6393
49488986, 6603
49488987, 6785
49488988, 6577
49488989, 6733
49488990, 6407
49488991, 6342
49489017, 8107
49489018, 8179
49489019, 8081
49489021, 8080
49489022, 8106
49489023, 8180
49489024, 8178
49489025, 8185
49489026, 8103
49489027, 8183
49489028, 8110
49489029, 8173
49489030, 8172
49489031, 8105
49489032, 8184
49489033, 8177
49489034, 8176
49489035, 8181
49489036, 8101
49489037, 8171
49489038, 8182
49489039, 8100
49489040, 8102
49489041, 8170
49489042, 8175
49489043, 8104
49489044, 8174
49489045, 8109
49489046, 8108
49489172, 8030
49489173, 8034
49489174, 8041
49489176, 8031
49489177, 8032
49489178, 8040
49489179, 8039
49489180, 8038
49489181, 8033
49489182, 8036
49489184, 8037
49489190, 4245
49489191, 4263
49489192, 8823
49489194, 6380
49489197, 6394
49489199, 6480
49489200, 6368
49489205, 6275
49489206, 6378
49489209, 6481
49489214, 6319
49489218, 6445
49489219, 6325
49489221, 6391
49489223, 6470
49489224, 6396
49489228, 6433
49489232, 6353
49489233, 6390
49489234, 4273
49489235, 6279
49489236, 6254
49489265, 7347
49489266, 8760
49489267, 8752
49489268, 7383
49489271, 20815
49489272, 20333
49489273, 20973
49489274, 20698
49489275, 20683
49489276, 20958
49489277, 20643
49489278, 20345
49489279, 20876
49489280, 20987
49489283, 4048
49489284, 20313
49489285, 20983
49489286, 20646
49489287, 20331
49489288, 8590
49489289, 4032
49489290, 20985
49489291, 20682
49489292, 20802
49489293, 20825
49489294, 20634
